"PG.ProteinAccessions","NT01","NT02","NT04","NT05","NT06","NT07","NT08","NT10","NT11","NT18","NT19","NT20","NT21","NT22","NT23","NT25","NT26","NT27","NT28","NT30","NT31","NT32","NT33","NT34","NT35","NT36","NT37","NT38","NT39","NT40","NT41","NT42","NT44","NT45","NT47","NT48","NT49"
"A0A075B6K0;P01717;P01718","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"A0A075B6K5;P80748","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"A0A0B4J1V2","NaN","183110.6563","NaN","NaN","242229.29689999999","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","164221.9063","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","159874.6563","NaN"
"A0A0B4J1X5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","220469.125","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"A0A0C4DH25;P01619","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"A0A0C4DH29","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","100727.9375","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","418669.3125","NaN","NaN","NaN","NaN"
"A0A5B9","NaN","NaN","431867.46879999997","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","197341.76560000001","346260.5625","371505.09379999997","NaN","494497.65629999997","NaN","NaN","495059.75","NaN","NaN","NaN","621389.625","NaN","NaN","NaN"
"A0AVT1","277720.71879999997","119249.77340000001","157762.26560000001","138157.8125","147756.75","270993.46879999997","208828.79689999999","200601.07810000001","123065.58590000001","265022.46879999997","205514.8438","178964.26560000001","749138.9375","212550.5313","190743.73439999999","114561.83590000001","189490.1875","182488.39060000001","195142.79689999999","170977.125","219029.1875","183305.0938","379699.71879999997","103610.21090000001","163779.07810000001","249428.23439999999","274103.375","268701.09379999997","280641.125","363112.8125","281340.8125","194724.0313","367638.25","128670.85159999999","184205","116426.2656","235185.98439999999"
"A0FGR8","311902.34379999997","160218.5938","245644.7813","146430.92189999999","192510","675804.75","361216.5625","412163.75","320685.46879999997","425310.9375","206805.6875","252427.82810000001","2048070.625","173328.48439999999","265437.0625","87937.421879999994","218250.4063","213269.29689999999","142503.73439999999","285473.5","345559.9375","308182.59379999997","313776.46879999997","245718.625","233146.4688","292640.53129999997","446771.21879999997","104536.9063","596081.5","275567.90629999997","189714.4688","84502.421879999994","279630.3125","335732.0625","201290.89060000001","177448.25","432691.625"
"A0JLT2","NaN","22555.335940000001","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","34538.085939999997","NaN","13276.172850000001","NaN","NaN","NaN","39599.519529999998","NaN","NaN","30489.71875","39819.878909999999","NaN","26942.542969999999","NaN","39944.691409999999","NaN","32236.320309999999","NaN","19225.816409999999","NaN","NaN","NaN","NaN","36613.976560000003"
"A1L020","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"A1L020;Q5U5Q3;Q6ZN04;Q86XN8","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"A1L0T0","418707.9375","17262.833979999999","82416.476559999996","154867.01560000001","56495.410159999999","160122.42189999999","219011.0938","217750.64060000001","404187.8125","126556.07030000001","204091.20310000001","137469.0938","2285098.75","211815.0625","15805.2793","NaN","235177.64060000001","16142.86426","NaN","425721.4375","NaN","136466.6875","180564.4375","105215.71090000001","5992.6264650000003","194576.75","NaN","NaN","701761","271980.9375","631176","166019.75","598574.5625","NaN","218581.1875","NaN","79483.578129999994"
